CTG_NAME,PARENT_CTG_ID,CTG_LEVEL,CTG_SORT,GRADE_CODE,SUBJECT_CODE,USE_YN
중1과학,,1,1,COMGRDM1,COMSBJ01,Y
중2과학,,1,1,COMGRDM2,COMSBJ01,Y
중3과학,,1,1,COMGRDM3,COMSBJ01,Y
고1과학,,1,1,COMGRDH1,COMSBJ01,Y
고2과학,,1,1,COMGRDH2,COMSBJ01,Y
고3과학,,1,1,COMGRDH3,COMSBJ01,Y
중1수학,,1,1,COMGRDM1,COMSBJ02,Y
중2수학,,1,1,COMGRDM2,COMSBJ02,Y
중3수학,,1,1,COMGRDM3,COMSBJ02,Y
고1수학,,1,1,COMGRDH1,COMSBJ02,Y
고2수학,,1,1,COMGRDH2,COMSBJ02,Y
고3수학,,1,1,COMGRDH3,COMSBJ02,Y
중1영어,,1,1,COMGRDM1,COMSBJ03,Y
중2영어,,1,1,COMGRDM2,COMSBJ03,Y
중3영어,,1,1,COMGRDM3,COMSBJ03,Y
고1영어,,1,1,COMGRDH1,COMSBJ03,Y
고2영어,,1,1,COMGRDH2,COMSBJ03,Y
고3영어,,1,1,COMGRDH3,COMSBJ03,Y
중1국어,,1,1,COMGRDM1,COMSBJ04,Y
중2국어,,1,1,COMGRDM2,COMSBJ04,Y
중3국어,,1,1,COMGRDM3,COMSBJ04,Y
고1국어,,1,1,COMGRDH1,COMSBJ04,Y
고2국어,,1,1,COMGRDH2,COMSBJ04,Y
고3국어,,1,1,COMGRDH3,COMSBJ04,Y
